link,likes/views,comments
https://www.instagram.com/p/B9-WuO_HcSj/,112k,974
https://www.instagram.com/p/B992qDunayM/,75.2k,"1,198"
https://www.instagram.com/p/B99gr43Hr-x/,101k,417
https://www.instagram.com/p/B97fTkKnQhK/,82.8k,"1,393"
https://www.instagram.com/p/B97DitHH4mY/,82.5k,578
https://www.instagram.com/p/B96C_IfH5vL/,57.4k,306
https://www.instagram.com/p/B95J_bXHjVy/,108k,"1,054"
https://www.instagram.com/p/B945hFMn7ys/,98.2k,"1,290"
https://www.instagram.com/p/B92-IKzn-cQ/,52.4k,531
https://www.instagram.com/p/B92rsTBnd_3/,66.1k,220
https://www.instagram.com/p/B915gGIn9f1/,112k,835
https://www.instagram.com/p/B903zz_HGIY/,56.6k,"3,068"
https://www.instagram.com/p/B90MT2KHkBc/,49.6k,154
https://www.instagram.com/p/B90BdNFHEop/,56k,202
https://www.instagram.com/p/B9zpbMZnQ0c/,69.1k,278
https://www.instagram.com/p/B9yWgyyHZGc/,73.9k,256
https://www.instagram.com/p/B9xwdgDn7Fg/,107k,"3,035"
https://www.instagram.com/p/B9wz89jnDYl/,93k,563
https://www.instagram.com/p/B9u7FqsHdpS/,61.1k,336
https://www.instagram.com/p/B9udJWsn0MI/,52.3k,138
https://www.instagram.com/p/B9s8YouHt5P/,93k,606
https://www.instagram.com/p/B9swmcfnpmc/,84.8k,694
https://www.instagram.com/p/B9sdbIuHMxv/,91.7k,715
https://www.instagram.com/p/B9sRDD7Hn9W/,68.2k,476
https://www.instagram.com/p/B9rgZ9ynrdw/,95.5k,"1,457"
https://www.instagram.com/p/B9qcfBhHIC8/,70.3k,488
https://www.instagram.com/p/B9qRBbVHczg/,52k,508
https://www.instagram.com/p/B9p5Tz1neOL/,38.8k,322
https://www.instagram.com/p/B9pnJQMHybK/,84.7k,908
https://www.instagram.com/p/B9pbm9FHepA/,63.9k,"4,571"
https://www.instagram.com/p/B9o8oign19c/,47.4k,620
https://www.instagram.com/p/B9nAJ6-HSud/,63.9k,"2,934"
https://www.instagram.com/p/B9mrwZ0HkyS/,136k,"1,162"
https://www.instagram.com/p/B9lBmfsHr0S/,83.7k,"2,835"
https://www.instagram.com/p/B9kSoACHYa2/,73.5k,495
https://www.instagram.com/p/B9i_ySaHCx3/,67.5k,312
https://www.instagram.com/p/B9iknJJn6KY/,80k,428
https://www.instagram.com/p/B9iVC5LHv8V/,70.7k,349
https://www.instagram.com/p/B9h1WJRnMKS/,99.8k,648
https://www.instagram.com/p/B9hW99rnD4E/,68k,393
https://www.instagram.com/p/B9fwlHunenb/,65.3k,330
https://www.instagram.com/p/B9e40wbn9Fp/,85.5k,612
https://www.instagram.com/p/B9cyzron8si/,64.2k,855
https://www.instagram.com/p/B9che1lnOe2/,105k,839
https://www.instagram.com/p/B9bIVO_nRd-/,75.6k,287
https://www.instagram.com/p/B9amfQVHZtT/,65.9k,409
https://www.instagram.com/p/B9Z2ykInnEe/,43.6k,"2,194"
https://www.instagram.com/p/B9YkEM4H739/,87.5k,954
https://www.instagram.com/p/B9YDpkvnUYL/,88.4k,"1,369"
https://www.instagram.com/p/B9XwKcnnr5C/,84.9k,332
https://www.instagram.com/p/B9XeAOhHHYc/,87.7k,969
https://www.instagram.com/p/B9VsGj5nCxN/,125k,"3,175"
https://www.instagram.com/p/B9U8E0kHZnc/,82.5k,563
https://www.instagram.com/p/B9UpNSCnTXG/,61.2k,485
https://www.instagram.com/p/B9TadzoHN0r/,74.2k,497
https://www.instagram.com/p/B9S6X0HHRY8/,66.2k,980
https://www.instagram.com/p/B9SlzuuHE5y/,69k,"2,103"
https://www.instagram.com/p/B9R5z8snApW/,59.1k,194
https://www.instagram.com/p/B9QqmpyHTcS/,112k,"2,027"
https://www.instagram.com/p/B9QFqqnn-qA/,84.1k,758
https://www.instagram.com/p/B9P11FhH_7w/,47.9k,768
https://www.instagram.com/p/B9PQcz-nRwa/,71.8k,716
https://www.instagram.com/p/B9OEXTTnwzO/,56.9k,"1,126"
https://www.instagram.com/p/B9N1k7jnXDD/,58.9k,"2,893"
https://www.instagram.com/p/B9M5ZuQn6ry/,75.2k,367
https://www.instagram.com/p/B9LoOlCnAQU/,86.5k,337
https://www.instagram.com/p/B9LPmzDn-CI/,135k,694
https://www.instagram.com/p/B9Ky8SBn224/,43.3k,320
